,ensembl_gene_id,prev_symbol,symbol
437,ENSG00000026652,,AGPAT4
438,ENSG00000155189,,AGPAT5
439,ENSG00000018510,,AGPS
440,ENSG00000106541,,AGR2
441,ENSG00000173467,,AGR3
442,ENSG00000188157,AGRIN,AGRN
443,ENSG00000159723,,AGRP
444,ENSG00000135744,SERPINA8,AGT
445,ENSG00000135049,,AGTPBP1
446,ENSG00000144891,AGTR1B,AGTR1
447,ENSG00000180772,,AGTR2
448,ENSG00000177674,,AGTRAP
449,ENSG00000172482,SPAT,AGXT
450,ENSG00000113492,,AGXT2
451,ENSG00000153207,,AHCTF1
452,ENSG00000101444,,AHCY
453,ENSG00000168710,,AHCYL1
454,ENSG00000158467,,AHCYL2
455,ENSG00000126705,,AHDC1
456,ENSG00000135541,,AHI1
457,ENSG00000124942,,AHNAK
458,ENSG00000185567,C14orf78,AHNAK2
459,ENSG00000106546,,AHR
460,ENSG00000063438,AHH|AHHR,AHRR
461,ENSG00000100591,C14orf3,AHSA1
462,ENSG00000145192,,AHSG
463,ENSG00000169877,ERAF,AHSP
464,ENSG00000111732,,AICDA
465,ENSG00000186063,C1orf80,AIDA
466,ENSG00000204472,,AIF1
467,ENSG00000126878,C9orf58,AIF1L
468,ENSG00000156709,PDCD8|NAMSD|AUNX1,AIFM1
469,ENSG00000042286,AMID,AIFM2
470,ENSG00000183773,,AIFM3
471,ENSG00000146416,,AIG1
472,ENSG00000163568,,AIM2
473,ENSG00000164022,SCYE1,AIMP1
474,ENSG00000106305,,AIMP2
475,ENSG00000110711,,AIP
476,ENSG00000129221,LCA4,AIPL1
477,ENSG00000160224,APECED,AIRE
478,ENSG00000196581,,AJAP1
479,ENSG00000232434,C9orf172,AJM1
480,ENSG00000129474,JUB,AJUBA
481,ENSG00000106992,,AK1
482,ENSG00000004455,,AK2
483,ENSG00000147853,AK6|AK3L1,AK3
484,ENSG00000162433,AK3|AK3L1,AK4
485,ENSG00000154027,,AK5
486,ENSG00000085231,,AK6
487,ENSG00000140057,,AK7
488,ENSG00000165695,C9orf98,AK8
489,ENSG00000155085,C6orf224|AKD2|C6orf199|AKD1,AK9
490,ENSG00000231824,C18orf42,AKAIN1
491,ENSG00000121057,PRKA1,AKAP1
492,ENSG00000111254,,AKAP3
493,ENSG00000147081,,AKAP4
494,ENSG00000179841,,AKAP5
495,ENSG00000151320,,AKAP6
496,ENSG00000118507,,AKAP7
497,ENSG00000105127,,AKAP8
498,ENSG00000011243,,AKAP8L
499,ENSG00000127914,,AKAP9
500,ENSG00000108599,,AKAP10
501,ENSG00000023516,,AKAP11
502,ENSG00000131016,,AKAP12
503,ENSG00000170776,LBC,AKAP13
504,ENSG00000186471,,AKAP14
505,ENSG00000197976,CXYorf3|SFRS17A,AKAP17A
506,ENSG00000166452,C11orf17,AKIP1
507,ENSG00000174574,C1orf108,AKIRIN1
508,ENSG00000135334,C6orf166,AKIRIN2
509,ENSG00000106948,,AKNA
510,ENSG00000162641,C1orf62,AKNAD1
511,ENSG00000117448,,AKR1A1
512,ENSG00000085662,ALDR1,AKR1B1
513,ENSG00000198074,AKR1B11,AKR1B10
514,ENSG00000227471,,AKR1B15
515,ENSG00000187134,DDH1,AKR1C1
516,ENSG00000151632,DDH2|TDD,AKR1C2
517,ENSG00000196139,HSD17B5,AKR1C3
518,ENSG00000198610,CHDR,AKR1C4
519,ENSG00000122787,SRD5B1,AKR1D1
520,ENSG00000165568,AKRDC1|AKR1CL2,AKR1E2
521,ENSG00000053371,,AKR7A2
522,ENSG00000162482,,AKR7A3
523,ENSG00000211454,,AKR7L
524,ENSG00000142208,,AKT1
525,ENSG00000204673,,AKT1S1
526,ENSG00000105221,,AKT2
527,ENSG00000117020,,AKT3
528,ENSG00000166971,FTS,AKTIP
529,ENSG00000148218,,ALAD
530,ENSG00000023330,ALAS3|ALAS,ALAS1
531,ENSG00000158578,ASB,ALAS2
532,ENSG00000163631,,ALB
533,ENSG00000170017,,ALCAM
534,ENSG00000165092,PUMB1|ALDH1,ALDH1A1
535,ENSG00000128918,,ALDH1A2
536,ENSG00000184254,ALDH6,ALDH1A3
537,ENSG00000137124,ALDH5,ALDH1B1
538,ENSG00000144908,FTHFD,ALDH1L1
539,ENSG00000136010,,ALDH1L2
540,ENSG00000111275,,ALDH2
541,ENSG00000108602,ALDH3,ALDH3A1
542,ENSG00000072210,SLS|ALDH10,ALDH3A2
543,ENSG00000006534,ALDH7,ALDH3B1
544,ENSG00000132746,ALDH8,ALDH3B2
545,ENSG00000159423,ALDH4,ALDH4A1
546,ENSG00000112294,,ALDH5A1
547,ENSG00000119711,MMSDH,ALDH6A1
548,ENSG00000164904,ATQ1,ALDH7A1
549,ENSG00000118514,,ALDH8A1
