Unnamed: 0.1,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000203697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7480250342814068,-0.1906656975212485,0,0.5968311919008575,0.0,-0.2159661787699051
ENSG00000203734,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1741813938622815,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000203772,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2000374259683099,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000203791,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0884210726559597,-0.1906656975212485,0,0.5968311919008575,0.0,-0.2159661787699051
ENSG00000203797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.20466035473651,-0.1906656975212485,0,0.5968311919008575,0.0,-0.2159661787699051
ENSG00000203814,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6990753973886625,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000203877,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1199983756536183,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000203908,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0050654225610645,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000203909,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0066154768063272,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000203970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007281788209421,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000203972,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0086773750278414,-0.1906656975212485,0,0.5968311919008575,1.0,1.1034448153020302
ENSG00000204033,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0033866388514465,-0.1906656975212485,0,0.5968311919008575,1.0,-0.2159661787699051
ENSG00000204084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0764948638683975,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
ENSG00000204099,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.2610102904054625,-0.1906656975212485,0,0.5968311919008575,0.5,-0.2159661787699051
ENSG00000204103,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246296602540458,-0.1906656975212485,0,-0.2270874011256263,0.0,-0.2159661787699051
